OONOPI,NLI3PI,CTYPPI,CNAMPI,CURLPI,DTYPPI,DVALPI,PORTPI,POETPI,CCDEPI
0046807-180524-0216030506                         ,2,MALL_COUPON                                                                                                                                                                                                                                               ,2018年5月點數提醒購物禮499折50-7                                                                                                                                                                                                                    ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,50                                                ,                                                  ,                                                  ,5M4R-06SC-SIT7-MZCP                               
0046807-180524-0216047142                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買天天限量特價-5/24                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,FIXED_PRICE                                       ,39                                                ,                                                  ,                                                  ,                                                  
0046807-180524-0216168737                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買天天限量特價-5/24                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,FIXED_PRICE                                       ,39                                                ,                                                  ,                                                  ,                                                  
0046807-180524-0216168737                         ,2,MALL_COUPON                                                                                                                                                                                                                                               ,2018年5月點數提醒購物禮499折50-3                                                                                                                                                                                                                    ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,50                                                ,                                                  ,                                                  ,78AD-HDPX-WXIV-TCJE                               
0046807-180524-0216436880                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,2018年5月點數提醒購物禮499折50-7                                                                                                                                                                                                                    ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,50                                                ,                                                  ,                                                  ,S6PI-SL3V-BYCT-KY5Y                               
0046807-180524-0216488997                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0219083773                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0219138150                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,精選會員獨享-單筆滿699現折100                                                                                                                                                                                                                       ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,100                                               ,                                                  ,                                                  ,ZSOR-ZNX5-L8IR-V9T9                               
0046807-180524-0219138150                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0219271694                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買天天限量特價-5/24                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,FIXED_PRICE                                       ,39                                                ,                                                  ,                                                  ,                                                  
0046807-180524-0219271694                         ,2,MALL_COUPON                                                                                                                                                                                                                                               ,2018年5月點數提醒購物禮499折50-7                                                                                                                                                                                                                    ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,50                                                ,                                                  ,                                                  ,M5TR-JKPW-J2GA-5QLI                               
0046807-180524-0220205689                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,3C 全系列98折                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,2                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0223489262                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,3C 全系列98折                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,2                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0223522623                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,2018年5月購物車驚喜禮滿799折100-2                                                                                                                                                                                                                   ,https://www.rakuten.com.tw                                                                                                                                                                                                                                ,AMOUNT_OFF                                        ,100                                               ,                                                  ,                                                  ,NL6Z-RFVN-MZWN-GJ08                               
0046807-180524-0225096185                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,小家電系列92折                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0228116332                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買天天限量特價-5/24                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,FIXED_PRICE                                       ,39                                                ,                                                  ,                                                  ,                                                  
0046807-180524-0228116332                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0229229000                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買天天限量特價-5/24                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,FIXED_PRICE                                       ,39                                                ,                                                  ,                                                  ,                                                  
0046807-180524-0229229000                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,小家電系列92折                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0231484569                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,2018年5月點數提醒購物禮499折50-4                                                                                                                                                                                                                    ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,50                                                ,                                                  ,                                                  ,3K70-NG3A-HHWQ-MQGC                               
0046807-180524-0231484569                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0232400575                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0233016916                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,愛買折價卷_201805_50                                                                                                                                                                                                                                    ,https://www.rakuten.com.tw/shop/amart/                                                                                                                                                                                                                    ,AMOUNT_OFF                                        ,50                                                ,                                                  ,                                                  ,MVZL-SZDN-MKBY-TXZE                               
0046807-180524-0233016916                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0234015712                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,【樂天會員生日獻禮】專屬150元生日金-5月全會員-4                                                                                                                                                                                                     ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,150                                               ,                                                  ,                                                  ,LHHV-WRVA-LHXV-KGSA                               
0046807-180524-0235062630                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0235334585                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,3C 全系列98折                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,2                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0235428503                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0236097212                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,精選會員獨享-單筆滿699現折100-2                                                                                                                                                                                                                     ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,100                                               ,                                                  ,                                                  ,ZLX1-WY54-RNJ4-ESHY                               
0046807-180524-0236097212                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買天天限量特價-5/24                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,FIXED_PRICE                                       ,39                                                ,                                                  ,                                                  ,                                                  
0046807-180524-0236215929                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0236215929                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0236275978                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,2018年5月點數提醒購物禮499折50-1                                                                                                                                                                                                                    ,https://www.rakuten.com.tw                                                                                                                                                                                                                                ,AMOUNT_OFF                                        ,50                                                ,                                                  ,                                                  ,BPAE-EMPM-IMRK-TYUV                               
0046807-180524-0236275978                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0240263654                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,小家電系列92折                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0240263654                         ,2,MALL_COUPON                                                                                                                                                                                                                                               ,2018年5月購物車驚喜禮滿799折100-2                                                                                                                                                                                                                   ,https://www.rakuten.com.tw                                                                                                                                                                                                                                ,AMOUNT_OFF                                        ,100                                               ,                                                  ,                                                  ,KX70-UVJ6-6TEZ-6HLV                               
0046807-180524-0241306523                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,2018年5月點數提醒購物禮499折50-5                                                                                                                                                                                                                    ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,50                                                ,                                                  ,                                                  ,LVJL-LWBZ-CGJY-2N1B                               
0046807-180524-0245552695                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0246013724                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0248376453                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0248540850                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0248540850                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0249322742                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,3C 全系列98折                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,2                                                 ,                                                  ,                                                  ,                                                  
